Feature,Coefficient
great,0.3735457690561172
good,0.36072456476064346
new,0.14230984254356385
screen,0.061117249467580265
use,0.05584326054620255
work,0.040431120746758205
battery,-0.004943941903385326
charge,-0.0003672912521835449
