amazon,app,bad,battery,battery life,best,black,black gb,blue,blue gb,buy,camera,camera quality,charge,customer,day,display,dont,face,fast,feature,galaxy midnight,galaxy raven,game,good,great,heating,heavy,hour,hr,issue,life,like,look,mah,midnight,midnight blue,money,need,performance,phone,play,price,problem,purchase,quality,raven,raven black,say,screen,slow,start,time,usage,use,work
0.8025837905811097,0.0,0.21737991711309712,0.14878103572572715,0.0,0.0,0.12466811157199209,0.12723070955263063,0.0,0.0,0.0,0.0,0.0,0.18164615321677746,0.2516043323408332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12723070955263063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2565839047503286,0.0,0.12530107291532708,0.12530107291532708,0.0,0.0,0.0,0.0,0.2121695224007504,0.0,0.0,0.0
0.0,0.0,0.0,0.2740339352460211,0.0,0.0,0.0,0.0,0.1312265202807229,0.1318749182003754,0.0,0.0,0.0,0.6691338038546505,0.0,0.0,0.0,0.0,0.0,0.2224733876366478,0.0,0.1318749182003754,0.0,0.0,0.0,0.0,0.0,0.0,0.4659826136321099,0.0,0.0,0.0,0.0,0.0,0.20896033922415747,0.1318749182003754,0.1318749182003754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23629589885750593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1557131961225057,0.0
0.0,0.4904382345685317,0.0,0.0,0.0,0.0,0.0,0.0,0.2830262205305952,0.2844246696566298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2844246696566298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38536915710351627,0.0,0.0,0.0,0.0,0.2844246696566298,0.2844246696566298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4552664477881738
0.0,0.0,0.0,0.1810460398617515,0.31965060847236365,0.0,0.0,0.0,0.17339488848586065,0.17425164278165467,0.0,0.4231586533396721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17425164278165467,0.0,0.0,0.1872395770878373,0.0,0.0,0.0,0.0,0.0,0.0,0.3091502174716453,0.0,0.5806653501483466,0.0,0.17425164278165467,0.17425164278165467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25818110233368113,0.0,0.0,0.0
0.5856911733087276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20797116720068456,0.20899876491395283,0.3124581752520043,0.0,0.0,0.2651151190769024,0.0,0.0,0.0,0.2674380094064607,0.0,0.0,0.0,0.20899876491395283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20899876491395283,0.20899876491395283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27980433072680716,0.0,0.0,0.34822725075080063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.17867268579532875,0.0,0.0,0.0,0.155855765833821,0.09021132453956925,0.09206565083986241,0.0,0.0,0.30982700999361995,0.0,0.0,0.0,0.3641277596035997,0.14571854107071905,0.0,0.39777892871368137,0.0,0.0,0.16738597997476948,0.0,0.09206565083986241,0.155855765833821,0.0,0.0,0.0,0.3661412141433253,0.0,0.0,0.14039472755003107,0.0,0.0,0.0,0.0,0.0,0.0,0.17546999128893884,0.18082970692925382,0.1447963826652943,0.0,0.18866532930788565,0.0,0.0,0.18566715747270504,0.0,0.09066934287677347,0.09066934287677347,0.0,0.0,0.0,0.0,0.15352838349241113,0.0,0.0,0.3317183418636795
0.254544358272053,0.0,0.0,0.0,0.0,0.0,0.1581570165233703,0.16140799101922254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16140799101922254,0.0,0.0,0.0,0.3092037907572339,0.0,0.0,0.0,0.24613773667833527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6232193520537179,0.0,0.0,0.15896000676982702,0.15896000676982702,0.0,0.0,0.3255086192574157,0.0,0.2691634471475364,0.0,0.0,0.29078158170833057
0.0,0.5723749362942107,0.12597592282257158,0.08622152645451173,0.15223068903162057,0.0,0.0,0.0,0.0825777353433248,0.08298575676835142,0.0,0.2015254520410537,0.15154686729276093,0.10526750622850004,0.0,0.11670172232953961,0.0,0.10618984092252391,0.0,0.0,0.2681090822532078,0.08298575676835142,0.0,0.2496406589600585,0.08917114211135647,0.14681968527621247,0.0,0.14661590073708525,0.0,0.0,0.11243803561774326,0.1472299735167024,0.23213595225847097,0.13826829045049743,0.0,0.08298575676835142,0.08298575676835142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11110005430886646,0.0,0.0,0.0,0.13726118599318624,0.0,0.14998961182738388,0.0,0.29954274886399357,0.19597323881423384,0.13283176437033825
0.0,0.0,0.0,0.0,0.0,0.0,0.23108282653386159,0.23583281734682066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23583281734682066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4715732412670775,0.0,0.0,0.0,0.0,0.710703456075123,0.23225607360129674,0.23225607360129674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.1528534661364015,0.10461728621512566,0.0,0.0,0.08766197551057257,0.08946389902244396,0.0,0.0,0.0,0.12226091767775865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08946389902244396,0.15145132163216532,0.10819621595675512,0.0,0.0,0.0,0.0,0.0,0.13642720834794983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17571950552020965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088107050366355,0.088107050366355,0.0,0.6661859687140971,0.3608405018895559,0.0,0.14918971052227722,0.0,0.35667754779921995,0.3223440661056551
0.0,0.0,0.0,0.29740640713214916,0.5250937224363726,0.215273187881285,0.0,0.0,0.14241888648610562,0.14312258654246063,0.0,0.34756378773247637,0.0,0.0,0.0,0.0,0.19981729147017724,0.0,0.0,0.0,0.0,0.14312258654246063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5078446096505251,0.2001783149936896,0.0,0.0,0.14312258654246063,0.14312258654246063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16899404141418475,0.0
