amazon,bad,battery,big,bought,buy,camera,charge,charger,day,design,display,dont,face,fast,feel,fingerprint,game,good,hang,heavy,issue,like,look,lot,mi,mp,performance,play,price,problem,pubg,purchase,quality,return,sale,say,screen,sensor,time,try,use,work,Cluster
0.0,0.2608696148511104,0.0,0.0,0.0,0.2661306313576352,0.1723986019142186,0.4762110195210625,0.0,0.0,0.0,0.0,0.0,0.0,0.2977235480559429,0.0,0.0,0.0,0.0,0.0,0.3230829899854631,0.0,0.0,0.0,0.3138839951805615,0.3054722429278311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3230829899854631,0.2422562336334122,0.0,0.0,0.0,0.2381055097605312,0.0,1
0.0,0.0,0.1477780693936232,0.0,0.0,0.0,0.1283486633245396,0.0,0.0,0.1869582257829938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1869582257829938,0.2696661500819362,0.0,0.0,0.0,0.6068075498716002,0.0,0.0,0.0,0.0,0.2163042231208513,0.4810627168329696,0.2163042231208513,0.2066552850406781,0.2274203713209031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1772666574359952,0.0,2
0.3981920353312408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3469090898360966,0.3981920353312408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3787286880017418,0.0,0.0,0.0,0.0,0.0,0.3981920353312408,0.0,0.0,0.0,0.3051860441622358,0.409157001306916,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5849421215378344,0.0,0.0,0.8110750362641037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.2685461251935945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3336120572068626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3397453175095994,0.0,0.0,0.0,0.0,0.0,0.7861472439106294,0.0,0.0,0.0,0.0,0.0,0.2883255175174997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.4288765045044265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6905377429720877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5824281667425429,0.0,0.0,0.0,2
0.0,0.2608696148511104,0.0,0.0,0.0,0.2661306313576352,0.1723986019142186,0.4762110195210625,0.0,0.0,0.0,0.0,0.0,0.0,0.2977235480559429,0.0,0.0,0.0,0.0,0.0,0.3230829899854631,0.0,0.0,0.0,0.3138839951805615,0.3054722429278311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3230829899854631,0.2422562336334122,0.0,0.0,0.0,0.2381055097605312,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5643918595037578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4070357943667641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4789722376953351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5351348302504998,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
