Feature,Coefficient
battery,0.581804003722694
charge,-0.47410916089234445
use,-0.3171765863092929
black,-0.15441455805043383
raven,-0.13890929414682146
midnight,0.06217827613812092
mah,0.04948875511547026
blue,0.03103891082843894
