productName,rating,reviewText
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI",1,phone restarts automatically call 15 mins
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI",1,disappointed redmi note 9 pro products bought phone dated 25 may 2020 today 28052020 screen suddenly stopped working phone automatically going voice clear phone call phone doesnt get switch screen display went ridiculous product brand offers reasonable priced phone quality poor services worst able contact team product still warranty suggestion one purchase product
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI",1,phone worst 8 days phone lagging lot made new space phone office workplace switching takes around 1 minsometimesit gives lag try unlock fingerprint moreover frequently restartsi told issue amazon people told download app verify issues saying issues report asked ki much ram current usage able tell check ram usage around 70 dnt enough apps phone changed return policies service worst
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI",1, ive taken mobile seeing product reviews youtube device totally different reviews much heat hanging battery drainage problems face im truly unsatisfied product delivery ok
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI",1,earphones jack defected due non availability wired earphones market shops closed lockdown couldnt check return period 10 days unable even apply refund replacement amazon even considering exceptional circumstances dont buy since defaults may discover 10 days wont able apply return even replacement device got actually faulty nowadays camera also wont open sometimes highly disappointed amazons service
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI",1, worst cameras
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI",1,hangs camera open first instance always prompts restart mobile opening camera battery last long expected needs charged everyday full charge morning needs charge 7 pm without games heavy usage screen goes blank attending call seems like got defective piece could return coz lockdown still able show service center seems like wasted hard earned money
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI",1,dont buy 4gb version bcz slow u use 3 4 application mobile stuck time restart automaticallycamera picture quality ok night time good camera app response also slow wise mobile nyc battery backup big screen super expect camera responses software hanging problems
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI",1,dont buy mobile even mistakesure hangs 1 2 times daya lot heat occurs mobile used morei sad frustrated buying
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI",1,redmi note 9 pro doesnt proper working
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI",1,worst experience redmi note 9pro working fine trying reach replacement amazon guys respond properly
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI",1, defective item automatically restarts
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI",1,note 9 pro worst phone launched mi till bought phone trusting mi brand used redmi note 4 earlier superb phone mibut redmi note 9 pro xiaomi making fool customers changing location finger sensor wrong place sidewaysthey say camera 48 mp take photos nothing like 48 mptouch screen slowbattery 5020 mha draining fast nothing like 5020mhaphone heavy handle multiple tasks using phonejust waste money
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI",1,phone got hung incoming call done entire screen got black could operation recieve incoming call happened thrice within two weeks purchase seems defect phone expect bad product redmi regular user redmi phone earlier redmi note 5 pro working fine last two years issue earlier phone redmi needs ramp quality mobiles seems compromising quality achieving success brand earlier good shame redmi fooling customers
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI",1,redmi note 9 pro big issues camera batter1 camera poor quality getting blur low quality image2 battery drainage fast charging slow fast charging name sake reali felt completely disappointed betrayed buying cant even return
