battery,battery life,charge,come,good,great,life,like,new,screen,unlocked battery,use,work,Cluster
0.0,0.0,0.0,0.6125560982011773,0.543745838195541,0.0,0.0,0.0,0.5736858809501748,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.8092767746300223,0.0,0.0,0.0,0.0,0.0,0.0,0.5874275291850289,1
0.0,0.0,0.0,0.0,0.0,0.5275266840749229,0.0,0.5535072120820647,0.5183839872104048,0.0,0.0,0.0,0.3829143580043713,1
0.418033165145997,0.0,0.6302406877362631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6542514412362741,0.0,0.0,2
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.5495434081712041,0.0,0.0,0.8354651653633306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.6956907571681706,0.0,0.0,0.0,0.0,0.0,0.7183414023921896,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.8201540242416191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5721427938201071,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9380648003886978,0.0,0.0,0.0,0.346459853766223,1
0.5384251207977004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8426733585998679,0.0,0.0,2
0.1826166255356276,0.2673314280885274,0.0,0.0,0.2464431410653343,0.2645987608181609,0.265954419537424,0.832890506824268,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.6472648416731213,0.0,0.6168835169495085,0.0,0.0,0.0,0.0,0.0,0.0,0.447775559013525,1
0.5384251207977004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8426733585998679,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.6518985504029212,0.0,0.0,0.0,0.0,0.7583061914441749,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0.0,0.0,0.0,0.8266065137015275,0.3668756649149519,0.0,0.0,0.0,0.0,0.4267597895765467,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.4685197999466434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7332665920316813,0.0,0.4927568386823275,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.2651457474895868,0.0,0.7994850752562732,0.4030983403275751,0.3578170972100324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.4876286977805191,0.0,0.0,0.0,0.0,0.7065399921483408,0.0,0.0,0.0,0.0,0.0,0.0,0.5128542605808183,1
