Feature,Coefficient
best,0.5718832626554721
awesome,0.4447534604653401
price,0.36150122003108665
good,0.30245018517865485
buy,0.15126960505199494
amazon,0.08377129070619592
camera,-0.059449209375112444
quality,0.039666965243369746
use,-0.03921556980046581
