amazon,awesome,bad,battery,best,buy,camera,charge,day,display,dont,fast,glass,good,great,like,look,make,mp,nice,price,pro,quality,storage best,time,use,work
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.600840763678528,0.0,0.0,0.0,0.0,0.0,0.0,0.6157391867371488,0.5097603658764361,0.0
0.0,0.0,0.0,0.420871929566178,0.0,0.0,0.7008822155820146,0.0,0.0,0.0,0.0,0.0,0.0,0.3694100487440042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4417772681691999,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.43949488243490853,0.26205856151059753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26205856151059753,0.23617798794249076,0.26825559040935154,0.0,0.27490724508286324,0.0,0.0,0.0,0.0,0.0,0.0,0.6827735875222739,0.0
0.0,0.25130785683505236,0.0,0.17335069274018283,0.0,0.0,0.14434131747115242,0.0,0.19889864357365722,0.2441250455316105,0.0,0.40557679340493624,0.23755995830552742,0.15215433331694447,0.22069411665075925,0.0,0.2259129799872064,0.4518259599744128,0.0,0.0,0.18829301637949208,0.23755995830552742,0.0,0.0,0.0,0.38333445497093466,0.0
0.0,0.0,0.0,0.0,0.5929650865820655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8052281702068822,0.0,0.0,0.0
0.0,0.0,0.0,0.2755034452510121,0.2941153441125409,0.35074558124231237,0.22939931549609943,0.0,0.0,0.0,0.0,0.0,0.3775501899202307,0.24181641489899966,0.0,0.3161063892742875,0.0,0.3590398361238915,0.0,0.0,0.299251037935025,0.3775501899202307,0.0,0.0,0.0,0.0,0.0
0.23368929470442684,0.0,0.0,0.16594037303612783,0.17715063371790937,0.0,0.0,0.5504217616610594,0.19039621122518796,0.4673785894088537,0.0,0.0,0.0,0.1456501063282135,0.0,0.0,0.21625575058397528,0.0,0.22161801935105158,0.0,0.1802439487504161,0.0,0.34836575941019815,0.24056505832729105,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5239645270528331,0.0,0.0,0.0,0.0,0.4501477860842707,0.5112866833165766,0.5112866833165766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.36257133067155495,0.0,0.28244666413314956,0.0,0.2202981677539022,0.0,0.30356524047087396,0.0,0.0,0.0,0.0,0.23222263335817514,0.0,0.30356524047087396,0.0,0.0,0.0,0.0,0.28737860535011245,0.0,0.2777149157713525,0.0,0.0,0.5850568606865814,0.0
0.0,0.0,0.0,0.0,0.24512995758977835,0.0,0.38238497653604947,0.0,0.2634583585921795,0.6467292348646011,0.0,0.0,0.0,0.40308299934207015,0.2923283370820371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24102336536355173,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.24512995758977835,0.0,0.38238497653604947,0.0,0.2634583585921795,0.6467292348646011,0.0,0.0,0.0,0.40308299934207015,0.2923283370820371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24102336536355173,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.19187565911335322,0.0,0.0,0.0,0.636448721771014,0.0,0.0,0.0,0.6733775907572155,0.0,0.0,0.2442783955774057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21214957392367131,0.0
0.0,0.0,0.0,0.0,0.43949488243490853,0.26205856151059753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26205856151059753,0.23617798794249076,0.26825559040935154,0.0,0.27490724508286324,0.0,0.0,0.0,0.0,0.0,0.0,0.6827735875222739,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.4405730060542882,0.28814944911619683,0.0,0.0,0.0,0.46217422035021766,0.0,0.0,0.30374662012269704,0.0,0.0,0.0,0.45099145464376095,0.0,0.0,0.0,0.0,0.0,0.0,0.46217422035021766,0.0,0.0
0.0,0.0,0.0,0.09252476830872368,0.0,0.0,0.07704120903866785,0.30690328723487503,0.0,0.0,0.0,0.2164738902856907,0.0,0.0812113537868505,0.0,0.21232163105519802,0.0,0.3617386086119351,0.0,0.13413388121082045,0.2010002664457174,0.2535920653584323,0.09712061201978751,0.0,0.0,0.7161076702147084,0.13030010390568836
0.0,0.0,0.0,0.2104418659717183,0.0,0.26791517808685544,0.0,0.4653550367764745,0.0,0.0,0.0,0.7385347227329822,0.0,0.18471020399607785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29635953165241796
